equipoFolio,nombre
16,MOTOROLA / MOTO G55
26,SAMSUNG / A36
1,HONOR / X9C
2,HONOR / H400
12,MOTOROLA / MOTO G86
43,OPPO / A40
3,HONOR / H200
5,HONOR / X7C
8,HONOR / X6C
10,HONOR / X5B
24,SAMSUNG / A56 
14,MOTOROLA / MOTO G75
22,MOTOROLA / MOTO G05
31,REALME / NOTE 60
33,XIAOMI / NOTE 14
41,INFINIX / HOT 60I
7,HONOR / X8B
11,HONOR / PLAY 9A
15,MOTOROLA / MOTO G56
35,XIAOMI / NOTE 15
39,NUBIA / NUBIA MUSIC
17,MOTOROLA / MOTO G54
23,MOTOROLA / MOTO G04
20,MOTOROLA / MOTO G24
29,SAMSUNG / A17
32,REALME / C61
37,XIAOMI / C71
6,HONOR / PLAY 9T
19,MOTOROLA / MOTO G34
42,INFINIX / HOT 50I
18,MOTOROLA / MOTO G35
27,SAMSUNG / A26
28,SAMSUNG / A16
13,MOTOROLA / MOTO G85
38,NUBIA / NUBIA NEO
4,HONOR / X8C
25,SAMSUNG / A55
34,XIAOMI / 15C
40,INFINIX / HOT 60
9,HONOR / X6B
30,SAMSUNG / A07
36,XIAOMI / A5
21,MOTOROLA / MOTO G15
44,HONOR / X6B PLUS
45,XIAOMI / F15
46,HONOR / PLAY 9A
47,- / -
48,- / -
49,MOTO / G06
50,MOTOROLA / G06
51,- / -
52,HONOR / MAGIC 7
53,TECNO / SPARK GO
54,XIAOMI / REDMI A5
55,XIAOMI / REDMI 15C
56,HONOR / X5B PLUS
57,MOTOROLA / MOTO G04S
58,XIAOMI / REDMI NOTE 14 PRO
59,ZTE / BLADE A55
60,INFINIX / INFINIX HOT 60I
61,INFINIX / HOT 60 PRO
62,XIAOMI / REDMI 15
63,XIAOMI / REDMI 14C
64,HONOR / PAD X9
65,XIAOMI / REDMI NOTE 14
66,NUBIA / MUSIC
67,MOTOROLA / EDGE 40 NEO
68,NUBIA / NEO
69,SAMSUNG / S25 ULTRA
70,MOTOROLA / G15
71,XIAOMI / REDMI A05
72,SAMSUNG  / A06
73,MOTOROLA  / G04S
74,SAMSUNG  / A15
75,ZTE / A55
76,HONOR / X7B
77,XIAOMI / 14C
78,HONOR / REDMI 14C
79, HONOR /  X7A
80, XIAOMI  /  REDMI NOTE 12 PRO
81,HONOT / 400 LITE
82,XIAOMI / REDMO NOTE 14 PRO
83,XIAOMI / NOTE 14 ACC
84,HONOR / MAGIC 6 LITE
85,NUBIA  / NEO 2
86,HONOR / X9B
87,HONOR / 90 LITE
88,REALME  / C51
89,SAMSUNG / S24 ULTRA
90,REALME  / NOTE 50
91,XIAOMI  / REDMI NOTE 13 PRO 
92,HONOR  / MAGIC 5 LITE
93,HONOR / X6A PLUS
94,XIAOMI / POCO C65
95,ZTE / A54 BLADE
96,HONOR  / X8A
97,SAMSUNG / A05
98,ONE PLUS / NORD N30 SE 5G
99,HONOR / MAGIC5 LITE 5G
100,XIAOMI  / REDMI 13C
101,TECNO / GO SPARK 2024
102,SAMSUNG / A54 5G
103,- / -
104,MOTOROLA / EDGE FUSION 60
105,HONOR / MAGIC 7 LITE
106,- / -
107,XIAOMI / REDMI 15
108,HONOR / MAGIC 8 LITE
109,XIAOMI / NOTE 15 PRO
110,SAMSUNG / A36 5 G
111,XIAOMI / REDMI NOTE 15 PRO
112,HONOR / X5C PLUS
113,HONOR / X7D NO USAR
114,XIAOMI / REDMI NOTE 15 6GB / 128GB
115,HONOR / X8C
116,MOTOROLA / EDGE 70
117,TECNO / SPARK GO 2
118,TECNO / SPARK 40 PRO
119,TECNO / SPARK GO 3
120,HONOR / X7D 8GB / 128GB
121,HONOR / X7D 8GB / 256 GB
122,REDMI / A7 3GB / 64GB
123,SAMSUNG / A57 8GB/256GB
124,INFINIX / HOT 70
